"by Andy, x","by Andy, y","by 小狐狸🦊, x","by 小狐狸🦊, y"
2022-12-30 00:00:00,17,2022-12-30 00:00:00,20
2022-12-27 00:00:00,179,2022-12-27 00:00:00,130
2022-12-26 00:00:00,31,2022-12-26 00:00:00,19
2022-12-25 00:00:00,89,2022-12-25 00:00:00,73
2022-12-24 00:00:00,72,2022-12-24 00:00:00,47
2022-12-23 00:00:00,62,2022-12-23 00:00:00,46
2022-12-22 00:00:00,125,2022-12-22 00:00:00,107
2022-12-21 00:00:00,138,2022-12-21 00:00:00,163
2022-12-20 00:00:00,32,2022-12-20 00:00:00,39
2022-12-19 00:00:00,47,2022-12-19 00:00:00,43
2022-12-18 00:00:00,85,2022-12-18 00:00:00,121
2022-12-17 00:00:00,141,2022-12-17 00:00:00,174
2022-12-16 00:00:00,7,2022-12-16 00:00:00,4
2022-12-15 00:00:00,145,2022-12-15 00:00:00,147
2022-12-13 00:00:00,25,2022-12-13 00:00:00,26
2022-12-12 00:00:00,25,2022-12-12 00:00:00,17
2022-12-09 00:00:00,36,2022-12-09 00:00:00,51
2022-12-08 00:00:00,7,2022-12-08 00:00:00,4
2022-12-07 00:00:00,35,2022-12-07 00:00:00,21
2022-12-06 00:00:00,43,2022-12-06 00:00:00,48
2022-12-05 00:00:00,9,2022-12-05 00:00:00,12
2022-12-04 00:00:00,85,2022-12-04 00:00:00,91
2022-12-03 00:00:00,70,2022-12-03 00:00:00,72
2022-11-29 00:00:00,13,2022-11-29 00:00:00,10
2022-11-28 00:00:00,129,2022-11-28 00:00:00,111
2022-11-27 00:00:00,125,2022-11-27 00:00:00,112
2022-11-26 00:00:00,43,2022-11-26 00:00:00,38
2022-11-25 00:00:00,65,2022-11-25 00:00:00,66
2022-11-24 00:00:00,63,2022-11-24 00:00:00,52
2022-11-23 00:00:00,117,2022-11-23 00:00:00,117
2022-11-22 00:00:00,167,2022-11-22 00:00:00,136
2022-11-21 00:00:00,22,2022-11-21 00:00:00,22
2022-11-20 00:00:00,17,2022-11-20 00:00:00,17
2022-11-19 00:00:00,62,2022-11-19 00:00:00,57
2022-11-18 00:00:00,13,2022-11-18 00:00:00,14
2022-11-17 00:00:00,37,2022-11-17 00:00:00,35
2022-11-16 00:00:00,86,2022-11-16 00:00:00,81
2022-11-15 00:00:00,57,2022-11-15 00:00:00,50
2022-11-14 00:00:00,102,2022-11-14 00:00:00,99
2022-11-13 00:00:00,101,2022-11-13 00:00:00,91
2022-11-12 00:00:00,148,2022-11-12 00:00:00,164
2022-11-11 00:00:00,225,2022-11-11 00:00:00,200
2022-11-10 00:00:00,216,2022-11-10 00:00:00,189
2022-11-09 00:00:00,85,2022-11-09 00:00:00,72
2022-11-08 00:00:00,91,2022-11-08 00:00:00,74
2022-11-07 00:00:00,102,2022-11-07 00:00:00,92
2022-11-06 00:00:00,143,2022-11-06 00:00:00,114
2022-11-05 00:00:00,30,2022-11-05 00:00:00,28
2022-11-04 00:00:00,29,2022-11-04 00:00:00,26
2022-11-03 00:00:00,77,2022-11-03 00:00:00,63
2022-11-02 00:00:00,76,2022-11-02 00:00:00,85
2022-11-01 00:00:00,90,2022-11-01 00:00:00,91
2022-10-31 00:00:00,18,2022-10-31 00:00:00,18
2022-10-30 00:00:00,127,2022-10-30 00:00:00,111
2022-10-29 00:00:00,157,2022-10-29 00:00:00,136
2022-10-28 00:00:00,58,2022-10-28 00:00:00,53
2022-10-27 00:00:00,97,2022-10-27 00:00:00,103
2022-10-26 00:00:00,214,2022-10-26 00:00:00,171
2022-10-25 00:00:00,117,2022-10-25 00:00:00,80
2022-10-24 00:00:00,36,2022-10-24 00:00:00,27
2022-10-23 00:00:00,121,2022-10-23 00:00:00,112
2022-10-22 00:00:00,118,2022-10-22 00:00:00,120
2022-10-21 00:00:00,43,2022-10-21 00:00:00,32
2022-10-20 00:00:00,62,2022-10-20 00:00:00,62
2022-10-19 00:00:00,65,2022-10-19 00:00:00,65
2022-10-18 00:00:00,17,2022-10-18 00:00:00,9
2022-10-17 00:00:00,27,2022-10-17 00:00:00,20
2022-10-16 00:00:00,63,2022-10-16 00:00:00,46
2022-10-15 00:00:00,101,2022-10-15 00:00:00,92
2022-10-14 00:00:00,120,2022-10-14 00:00:00,84
2022-10-13 00:00:00,21,2022-10-13 00:00:00,20
2022-10-12 00:00:00,48,2022-10-12 00:00:00,31
2022-10-11 00:00:00,30,2022-10-11 00:00:00,24
2022-10-10 00:00:00,5,2022-10-10 00:00:00,2
2022-10-09 00:00:00,36,2022-10-09 00:00:00,21
2022-10-08 00:00:00,20,2022-10-08 00:00:00,18
2022-10-07 00:00:00,203,2022-10-07 00:00:00,145
2022-10-06 00:00:00,26,2022-10-06 00:00:00,15
2022-10-05 00:00:00,97,2022-10-05 00:00:00,60
2022-10-04 00:00:00,73,2022-10-04 00:00:00,48
2022-10-03 00:00:00,65,2022-10-03 00:00:00,64
2022-10-02 00:00:00,174,2022-10-02 00:00:00,140
2022-10-01 00:00:00,91,2022-10-01 00:00:00,58
2022-09-30 00:00:00,49,2022-09-30 00:00:00,39
2022-09-29 00:00:00,74,2022-09-29 00:00:00,70
2022-09-28 00:00:00,59,2022-09-28 00:00:00,44
2022-09-27 00:00:00,5,2022-09-27 00:00:00,3
2022-09-26 00:00:00,5,2022-09-26 00:00:00,4
2022-09-25 00:00:00,15,2022-09-25 00:00:00,6
2022-09-24 00:00:00,3,2022-09-24 00:00:00,1
2022-09-23 00:00:00,3,2022-09-23 00:00:00,2
